record_id,category,record_type,action_title,section,source_page_title,source_page_url,linked_resource_title,linked_resource_url,linked_resource_agency,deep_parsed,source_last_updated,retrieved_at,requires_human_review,source_content_hash,record_content_hash
3d03c2c2beeae55e7c5d,healthcare,detail_action,Cared by a specialized nurse practitioner,Québec Family Doctor Finder,Québec Family Doctor Finder,https://www.quebec.ca/en/health/finding-a-resource/quebec-family-doctor-finder,,,Gouvernement du Québec,true,"April 15, 2024",2026-06-12T17:58:33+00:00,true,72319a37e26441fd67b61e6f5260d6c4f948322ce56854910a8dfe3ac50b801f,628ca8e7963ec7d524b5ec5cd9aa78b1e83237dd6aaf214adcad32a6ac59682b
36a58081c67647a96aba,healthcare,detail_action,Collection of personal information,Info-Social 811,Info-Social 811,https://www.quebec.ca/en/health/finding-a-resource/info-social-811,,,Gouvernement du Québec,true,"January 9, 2020",2026-06-12T17:58:33+00:00,true,4f412b7b016c035c0a3c48a90acee7a6cd55fe90421cd75cb902043d19bdf83b,f743ed958e930dce8cdd8a7a78391557c9fe41518100d46e28b4a151de17c71a
5fc044cb34ef88cb9a83,healthcare,detail_action,Collection of personal information,Info-Santé 811,Info-Santé 811,https://www.quebec.ca/en/health/finding-a-resource/info-sante-811,,,Gouvernement du Québec,true,"December 8, 2022",2026-06-12T17:58:33+00:00,true,e185a732c0fb9ee4920f2fdd21efc0aca41484a8f35b2e9040aa045f21a3c822,406ece822e7d9e11a31ab3a45ee284d76967227e06cbd47bd65c912ac9930557
50c0c256640cfbb6d4db,healthcare,detail_action,Contact PRAIDA,Asylum seekers,Asylum seekers,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,,,Gouvernement du Québec,true,"June 11, 2026",2026-06-12T17:58:36+00:00,true,16eaf1e23609b3b65387283d21ab1ea307a5f5ae936c006372c42112628a7d95,fee46482a3eb4b014423e316632688616aafa4c5ecad8e19170768568ab19717
fa222950cafc121c14be,healthcare,detail_action,"Contact the ministère de l'Immigration, de la Francisation et de l'Intégration",Asylum seekers,Asylum seekers,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,,,Gouvernement du Québec,true,"June 11, 2026",2026-06-12T17:58:36+00:00,true,16eaf1e23609b3b65387283d21ab1ea307a5f5ae936c006372c42112628a7d95,62c18a86e4730bf0dd347e5e09d325722abd90528858f3d5f0432fa69e8c94e2
0c3092bc71b831fdd5f9,healthcare,detail_action,Description,Primary Care Access Point,Primary Care Access Point,https://www.quebec.ca/en/health/finding-a-resource/primary-care-access-point,,,Gouvernement du Québec,true,"April 21, 2026",2026-06-12T17:58:33+00:00,true,08bae471134474177fc22cf672934ddf70f44be4c26f4a275587f7d79a70193e,9ad359e01b783fb4a6d9a557aae6ab41b34409aade6463db73f9e29539626648
2dbbe16da4964ddaa510,healthcare,detail_action,Description,Info-Santé 811,Info-Santé 811,https://www.quebec.ca/en/health/finding-a-resource/info-sante-811,,,Gouvernement du Québec,true,"December 8, 2022",2026-06-12T17:58:33+00:00,true,e185a732c0fb9ee4920f2fdd21efc0aca41484a8f35b2e9040aa045f21a3c822,eb054ac568af59e94fda01e4e318c2f4b39abec691d2c6ce0fff976c99d6a64e
bfca39f54cc9bb3489eb,healthcare,detail_action,Description,Info-Social 811,Info-Social 811,https://www.quebec.ca/en/health/finding-a-resource/info-social-811,,,Gouvernement du Québec,true,"January 9, 2020",2026-06-12T17:58:33+00:00,true,4f412b7b016c035c0a3c48a90acee7a6cd55fe90421cd75cb902043d19bdf83b,d831db530311af65760844b72839875c756a20efb3e2cf051211407119226b4e
5885e0d5dc597f3590bb,healthcare,detail_action,Documents to provide with your application,Asylum seekers,Asylum seekers,https://www.quebec.ca/en/immigration/refugees-asylum-seekers/asylum-seekers,,,Gouvernement du Québec,true,"June 11, 2026",2026-06-12T17:58:36+00:00,true,16eaf1e23609b3b65387283d21ab1ea307a5f5ae936c006372c42112628a7d95,c9cef4a84719b1c7628045ff5469f39493da21f9db9df3e737a5d14c2225d504
7cbc2b6f3fac1b918a70,healthcare,detail_action,Eligibility criteria,Québec Family Doctor Finder,Québec Family Doctor Finder,https://www.quebec.ca/en/health/finding-a-resource/quebec-family-doctor-finder,,,Gouvernement du Québec,true,"April 15, 2024",2026-06-12T17:58:33+00:00,true,72319a37e26441fd67b61e6f5260d6c4f948322ce56854910a8dfe3ac50b801f,e1078c6b70d1e6ca0f19005ea930b53893cf9aa547bda0a7e759bac3b8e6feb5
